ÐòºÅ,X,Y
351,2.970215322,51.5694636
352,2.970881359,51.52625977
353,2.972309679,51.54838527
354,2.973576305,51.49052479
355,2.973558338,51.59765787
356,2.973738,51.4897702
357,2.974169192,51.50222085
358,2.974995642,51.60691051
359,2.975040559,51.73986118
360,2.975265137,51.58526112
361,2.97724143,51.66985996
362,2.977421094,51.77215561
363,2.978499072,51.54483693
364,2.978775476,51.5547184
365,2.978552971,51.56481546
366,2.979181793,51.5745532
367,2.980340619,51.59271713
368,2.98054274,51.71607828
369,2.98054274,51.78284556
370,2.981418597,51.60322742
371,2.981661141,51.52502009
372,2.984409986,51.49413601
373,2.9854161,51.50162796
